MdlN,End Status,PrP start DT,Sim start DT,Sim end DT,PoP end DT,Sim Dur,Sim device name,Sim Dir,1st SP date,last SP date,Git tag,Git hash,PRJ_to_TIF,GXG,Up_MM,Date Removed Output
NBr73,Removed Output,22/05/2026 17:36,22/05/2026 17:55,,,,UU120516,E:\models\NBr\Sim\NBr73,01/01/1993,03/04/1993,,,,,,27/05/2026 10:30
NBr75,Running,29/05/2026 17:45,,,,,UU120516,E:\models\NBr\Sim\NBr75,01/01/1996,01/01/1998,,,,,,
NBr77,Running,11/06/2026 14:09,11/06/2026 14:17,,,,ws7-waterscapei,E:\models\NBr\Sim\NBr77,01/01/2000,31/12/2004,,,,,,
NBr78,Running,11/06/2026 14:09,11/06/2026 14:17,,,,ws7-waterscapei,E:\models\NBr\Sim\NBr78,01/01/2000,31/12/2004,,,,,,
NBr79,Running,13/06/2026 11:31,13/06/2026 11:42,,,,UU120516,E:\models\NBr\Sim\NBr79,01/01/2000,31/12/2004,,,,,,
NBr80,Running,18/06/2026 13:34,18/06/2026 13:44,,,,UU120516,G:\models\NBr\Sim\NBr80,01/01/2000,31/12/2004,,,,,,
NBr90,Running,19/06/2026 17:15,19/06/2026 17:27,,,,UU120516,G:\models\NBr\Sim\NBr90,01/01/2000,31/12/2004,,,,,,
,,,,,,,,,,,,,,,,
NBr91,Running,2026-06-22 17:36:13,2026-06-22 17:45:31,,,,UU120516,G:\models\NBr\Sim\NBr91,2000-01-01,2004-12-31,,,,,,
NBr93,Running,2026-06-23 09:45:36,2026-06-23 09:54:41,,,,UU120516,G:\models\NBr\Sim\NBr93,2000-01-01,2004-12-31,,,,,,
NBr92,Running,2026-06-23 09:46:38,2026-06-23 09:54:40,,,,UU120516,G:\models\NBr\Sim\NBr92,2000-01-01,2004-12-31,,,,,,
NBr94,Running,2026-06-23 11:28:51,2026-06-23 11:38:06,,,,UU120516,G:\models\NBr\Sim\NBr94,2000-01-01,2004-12-31,,,,,,
NBr95,Running,2026-06-23 13:32:44,2026-06-23 13:42:20,,,,UU120516,G:\models\NBr\Sim\NBr95,2000-01-01,2004-12-31,,,,,,
NBr96,Running,2026-06-23 16:50:16,2026-06-23 17:00:10,,,,UU120516,G:\models\NBr\Sim\NBr96,2000-01-01,2004-12-31,,,,,,
NBr97,Running,2026-06-24 13:22:49,2026-06-24 13:31:46,,,,UU120516,G:\models\NBr\Sim\NBr97,2000-01-01,2004-12-31,,,,,,
NBr98,Running,2026-06-24 13:22:49,2026-06-24 13:31:46,,,,UU120516,G:\models\NBr\Sim\NBr98,2000-01-01,2004-12-31,,,,,,
NBr99,Running,2026-06-24 16:14:38,2026-06-24 16:21:29,,,,UU120516,G:\models\NBr\Sim\NBr99,2000-01-01,2004-12-31,,,,,,
NBr100,Running,2026-06-26 18:33:28,,,,,UU120516,G:\models\NBr\Sim\NBr100,2000-01-01,2002-12-31,,,,,,
