x,y,ilay,id,code,filterno,surfacelevel,filtertoplevel,filterbottomlevel,L,R,C,case1_L,case2_L,case3_L,case4_L,L_match,TOP_L_match,BOT_L_match,match_distance,match?,L_extra,TOP_match?,BOT_match?
113632.0,396195.0,2,5240_1,5240,1,0.89,0.89,-0.11,3,1,22,1,1,1.0,,1,1.8300000429153442,-0.15399999916553497,48.46648326421054,False,1,True,True
113322.0,396099.0,3,5357_2,5357,2,2.31,1.05,0.06,5,5,9,5,5,5.0,,5,1.6100000143051147,-0.7799999713897705,56.43580423808985,True,,True,True
124540.0,396095.0,4,B50E0379_1,B50E0379,1,-9999.0,8.54,6.54,7,5,458,5,7,,6,"5, 6, 7",12.829999923706055,-2.9173998832702637,46.09772228646444,True,"5, 6",True,True
115057.0,396050.0,3,5256_1,5256,1,2.44,2.44,1.44,5,7,79,5,5,5.0,,5,3.190000057220459,0.7799999713897705,7.0,True,,True,True
115060.0,396050.0,3,B50B0555_2,B50B0555,2,3.5,1.72,1.42,5,7,79,5,5,5.0,,5,3.190000057220459,0.7799999713897705,10.0,True,,True,True
113218.0,396013.0,3,5305_2,5305,2,0.57,0.57,-0.43,5,8,5,5,7,,6,"5, 6, 7",3.4100000858306885,-1.4600000381469727,48.91829923454004,True,"6, 7",True,True
113131.0,395990.0,3,5349_2,5349,2,-0.04,1.42,0.42,5,9,2,5,5,5.0,,5,3.559999942779541,-0.27000001072883606,44.28317965096906,True,,True,True
113206.0,395989.0,3,5359_1,5359,1,5.01,1.86,0.86,5,9,5,5,5,5.0,,5,3.5,-0.3700000047683716,58.7962583843564,True,,True,True
113131.0,395990.0,3,5349_1,5349,1,2.01,3.19,2.19,5,9,2,5,5,5.0,,5,3.559999942779541,-0.27000001072883606,44.28317965096906,True,,True,True
113300.0,395959.0,1,5241_1,5241,1,3.1,1.58,0.58,1,10,9,5,5,5.0,,5,3.5,-0.3700000047683716,50.80354318352215,False,5,True,True
115314.0,395879.0,3,5231_1,5231,1,2.58,3.22,2.22,5,13,89,5,5,5.0,,5,4.639999866485596,1.8300000429153442,46.22769732530488,True,,True,True
113423.0,395825.0,1,B50B0393_1,B50B0393,1,1.9,1.36,-0.14,1,16,13,1,5,,"2, 3, 4","1, 2, 3, 4, 5",2.190000057220459,-1.3799999952316284,36.796738985948195,True,"2, 3, 4, 5",True,True
114550.0,395782.0,3,B50B1186_1,B50B1186,1,4.51,3.56,2.56,5,17,59,5,5,5.0,,5,3.869999885559082,0.8199999928474426,32.0,True,,True,True
114550.0,395782.0,3,5249_1,5249,1,-0.07,3.56,2.56,5,17,59,5,5,5.0,,5,3.869999885559082,0.8199999928474426,32.0,True,,True,True
118867.0,395797.0,9,B50B0057_2,B50B0057,2,8.64,-8.27,-10.27,17,17,231,17,17,17.0,,17,-7.010000228881836,-24.440000534057617,49.9799959983992,True,,True,True
